rank,ticker,sector,official_model_weighting,candidate_category,candidate_label,lbo_status,lbo_rating,final_score,nlp_stagnation_score,financial_feasibility_score,fcf_margin,fcf,debt_to_ebitda,interest_coverage,capex_to_ebitda,fcf_to_debt,has_market_data,market_pressure_score,validation_score,validation_label,strong_validation_label,relative_return_vs_spy,max_drawdown_since_ranking,volatility_since_ranking,event_type,event_score,event_date,event_summary,source,notes,model_explanation
125,TJX,Consumer Discretionary,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Lower priority,Pass,Ideal,0.6564,0.567,0.865,0.1401,4335000000.0,0.549,51.924,0.33,1.513,0,,0.0,0,0,,,,none,0,,,,,TJX ranks #125 under the official 70/30 NLP-finance model. NLP stagnation score is 0.567. Financial feasibility score is 0.865. Final score is 0.656. Market validation data is not currently available.
126,RMD,Health Care,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Lower priority,Pass,Ideal,0.6559,0.5727,0.85,0.1358,573627000.0,0.538,31.305,0.092,0.823,1,2.0,2.0,1,1,-0.3431,-0.2987,0.264,none,0,,,,,RMD ranks #126 under the official 70/30 NLP-finance model. NLP stagnation score is 0.573. Financial feasibility score is 0.850. Final score is 0.656. The company shows 2 market-pressure signal(s). Maximum drawdown was -29.9%. Relative return vs SPY was -34.3%.
127,STLD,Materials,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Lower priority,Pass,Attractive,0.6555,0.5978,0.79,0.0991,1862023000.0,0.9,55.082,0.462,0.576,1,1.0,1.0,1,0,0.8339,-0.2115,0.3698,none,0,,,,,STLD ranks #127 under the official 70/30 NLP-finance model. NLP stagnation score is 0.598. Financial feasibility score is 0.790. Final score is 0.655. The company shows 1 market-pressure signal(s). Maximum drawdown was -21.1%. Relative return vs SPY was 83.4%.
128,WAB,Industrials,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Lower priority,Pass,Attractive,0.6547,0.5817,0.825,0.1049,1015000000.0,2.215,79.209,0.104,0.255,0,,0.0,0,0,,,,none,0,,,,,WAB ranks #128 under the official 70/30 NLP-finance model. NLP stagnation score is 0.582. Financial feasibility score is 0.825. Final score is 0.655. Market validation data is not currently available.
129,AAPL,Information Technology,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Lower priority,Fail,Situational,0.6538,0.5268,0.95,0.2598,60477000000.0,0.768,43.214,0.087,1.03,0,,0.0,0,0,,,,none,0,,,,,AAPL ranks #129 under the official 70/30 NLP-finance model. NLP stagnation score is 0.527. Financial feasibility score is 0.950. Final score is 0.654. Market validation data is not currently available.
130,TSCO,Consumer Discretionary,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Lower priority,Pass,Attractive,0.6535,0.6208,0.73,0.0399,580150000.0,0.08,31.798,0.403,3.868,0,,0.0,0,0,,,,none,0,,,,,TSCO ranks #130 under the official 70/30 NLP-finance model. NLP stagnation score is 0.621. Financial feasibility score is 0.730. Final score is 0.654. Market validation data is not currently available.
131,KR,Consumer Staples,70% NLP stagnation / 30% financial feasibility,Watchlist candidate,Lower priority,Fail,Marginal,0.6532,0.6503,0.66,0.0192,2884000000.0,2.557,5.422,0.628,0.181,0,,0.0,0,0,,,,none,0,,,,,KR ranks #131 under the official 70/30 NLP-finance model. NLP stagnation score is 0.650. Financial feasibility score is 0.660. Final score is 0.653. Market validation data is not currently available.
132,GNRC,Industrials,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Lower priority,Pass,Attractive,0.6527,0.6217,0.725,0.0976,392610000.0,1.635,3.956,0.233,0.434,0,,0.0,0,0,,,,none,0,,,,,GNRC ranks #132 under the official 70/30 NLP-finance model. NLP stagnation score is 0.622. Financial feasibility score is 0.725. Final score is 0.653. Market validation data is not currently available.
133,VZ,Communication Services,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Lower priority,Fail,Marginal,0.6521,0.5801,0.82,0.1524,20416000000.0,0.559,6.564,0.421,0.902,0,,0.0,0,0,,,,none,0,,,,,VZ ranks #133 under the official 70/30 NLP-finance model. NLP stagnation score is 0.580. Financial feasibility score is 0.820. Final score is 0.652. Market validation data is not currently available.
134,ANET,Information Technology,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Lower priority,Pass,Ideal,0.6518,0.5112,0.98,0.3412,1999600000.0,0.042,719.802,0.015,20.24,1,2.0,2.0,1,1,0.2943,-0.5042,0.5693,none,0,,,,,ANET ranks #134 under the official 70/30 NLP-finance model. NLP stagnation score is 0.511. Financial feasibility score is 0.980. Final score is 0.652. The company shows 2 market-pressure signal(s). Maximum drawdown was -50.4%. Relative return vs SPY was 29.4%.
135,CMCSA,Communication Services,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Lower priority,Fail,Marginal,0.6504,0.5862,0.8,0.1337,16259000000.0,0.13,5.446,0.325,3.313,0,,0.0,0,0,,,,none,0,,,,,CMCSA ranks #135 under the official 70/30 NLP-finance model. NLP stagnation score is 0.586. Financial feasibility score is 0.800. Final score is 0.650. Market validation data is not currently available.
136,FSLR,Information Technology,70% NLP stagnation / 30% financial feasibility,Watchlist candidate,Financial caution,Fail,Marginal,0.6503,0.8004,0.3,-0.2364,-784515000.0,0.218,65.405,1.281,-3.318,0,,0.0,0,0,,,,none,0,,,,,FSLR ranks #136 under the official 70/30 NLP-finance model. NLP stagnation score is 0.800. Financial feasibility score is 0.300. Final score is 0.650. Market validation data is not currently available.
137,PTC,Information Technology,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Lower priority,Fail,Situational,0.6502,0.5625,0.855,0.2799,587047000.0,2.179,3.543,0.042,0.478,0,,0.0,0,0,,,,none,0,,,,,PTC ranks #137 under the official 70/30 NLP-finance model. NLP stagnation score is 0.562. Financial feasibility score is 0.855. Final score is 0.650. Market validation data is not currently available.
138,JCI,Industrials,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Financial caution,Fail,Marginal,0.6483,0.6625,0.615,0.0631,1410000000.0,5.881,2.967,0.306,0.165,0,,0.0,0,0,,,,none,0,,,,,JCI ranks #138 under the official 70/30 NLP-finance model. NLP stagnation score is 0.663. Financial feasibility score is 0.615. Final score is 0.648. Market validation data is not currently available.
139,KDP,Consumer Staples,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Lower priority,Fail,Marginal,0.6465,0.6086,0.735,0.061,904000000.0,0.735,6.384,0.118,0.342,0,,0.0,0,0,,,,none,0,,,,,KDP ranks #139 under the official 70/30 NLP-finance model. NLP stagnation score is 0.609. Financial feasibility score is 0.735. Final score is 0.647. Market validation data is not currently available.
140,CVS,Health Care,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Lower priority,Fail,Marginal,0.6452,0.5831,0.79,0.0291,10395000000.0,1.491,5.491,0.167,0.385,1,0.0,0.0,0,0,0.7183,-0.1644,0.335,none,0,,,,,CVS ranks #140 under the official 70/30 NLP-finance model. NLP stagnation score is 0.583. Financial feasibility score is 0.790. Final score is 0.645. No market-pressure signal is currently flagged. Maximum drawdown was -16.4%. Relative return vs SPY was 71.8%.
141,WST,Health Care,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Lower priority,Pass,Attractive,0.6451,0.598,0.755,0.1405,414500000.0,0.249,82.439,0.445,2.046,0,,0.0,0,0,,,,none,0,,,,,WST ranks #141 under the official 70/30 NLP-finance model. NLP stagnation score is 0.598. Financial feasibility score is 0.755. Final score is 0.645. Market validation data is not currently available.
142,UBER,Industrials,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Financial caution,Fail,Marginal,0.6436,0.6152,0.71,0.0902,3362000000.0,5.484,2.298,0.115,0.317,0,,0.0,0,0,,,,none,0,,,,,UBER ranks #142 under the official 70/30 NLP-finance model. NLP stagnation score is 0.615. Financial feasibility score is 0.710. Final score is 0.644. Market validation data is not currently available.
143,HD,Consumer Discretionary,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Lower priority,Pass,Ideal,0.6434,0.5484,0.865,0.1175,17946000000.0,1.996,16.102,0.13,0.363,0,,0.0,0,0,,,,none,0,,,,,HD ranks #143 under the official 70/30 NLP-finance model. NLP stagnation score is 0.548. Financial feasibility score is 0.865. Final score is 0.643. Market validation data is not currently available.
144,UHS,Health Care,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Lower priority,Pass,Marginal,0.6434,0.6877,0.54,0.0367,524742000.0,2.584,5.687,0.426,0.116,0,,0.0,0,0,,,,none,0,,,,,UHS ranks #144 under the official 70/30 NLP-finance model. NLP stagnation score is 0.688. Financial feasibility score is 0.540. Final score is 0.643. Market validation data is not currently available.
145,MGM,Consumer Discretionary,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Lower priority,Pass,Attractive,0.6427,0.6075,0.725,0.1088,1758964000.0,2.351,2.366,0.344,0.276,0,,0.0,0,0,,,,none,0,,,,,MGM ranks #145 under the official 70/30 NLP-finance model. NLP stagnation score is 0.607. Financial feasibility score is 0.725. Final score is 0.643. Market validation data is not currently available.
146,KO,Consumer Staples,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Lower priority,Pass,Attractive,0.6424,0.5555,0.845,0.213,9747000000.0,2.957,7.407,0.149,0.265,1,0.0,0.0,0,0,0.0667,-0.1262,0.1987,none,0,,,,,KO ranks #146 under the official 70/30 NLP-finance model. NLP stagnation score is 0.556. Financial feasibility score is 0.845. Final score is 0.642. No market-pressure signal is currently flagged. Maximum drawdown was -12.6%. Relative return vs SPY was 6.7%.
147,APH,Information Technology,70% NLP stagnation / 30% financial feasibility,Validation signal despite lower model score,Lower priority,Pass,Ideal,0.6413,0.5389,0.88,0.1717,2155900000.0,1.015,22.161,0.126,0.716,1,2.0,2.0,1,1,0.8315,-0.2819,0.4138,none,0,,,,,APH ranks #147 under the official 70/30 NLP-finance model. NLP stagnation score is 0.539. Financial feasibility score is 0.880. Final score is 0.641. The company shows 2 market-pressure signal(s). Maximum drawdown was -28.2%. Relative return vs SPY was 83.1%.
148,FICO,Information Technology,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Lower priority,Pass,Attractive,0.641,0.5878,0.765,0.307,464678000.0,3.36,9.321,0.006,0.21,0,,0.0,0,0,,,,none,0,,,,,FICO ranks #148 under the official 70/30 NLP-finance model. NLP stagnation score is 0.588. Financial feasibility score is 0.765. Final score is 0.641. Market validation data is not currently available.
149,HRL,Consumer Staples,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Lower priority,Pass,Attractive,0.6405,0.5915,0.755,0.0839,777636000.0,2.157,24.755,0.204,0.272,0,,0.0,0,0,,,,none,0,,,,,HRL ranks #149 under the official 70/30 NLP-finance model. NLP stagnation score is 0.591. Financial feasibility score is 0.755. Final score is 0.641. Market validation data is not currently available.
150,TEL,Information Technology,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Lower priority,Pass,Ideal,0.6398,0.5455,0.86,0.1497,2400000000.0,0.281,41.143,0.236,2.755,0,,0.0,0,0,,,,none,0,,,,,TEL ranks #150 under the official 70/30 NLP-finance model. NLP stagnation score is 0.545. Financial feasibility score is 0.860. Final score is 0.640. Market validation data is not currently available.
151,TXN,Information Technology,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Lower priority,Fail,Marginal,0.6384,0.6934,0.51,0.077,1349000000.0,1.598,20.768,0.596,0.099,0,,0.0,0,0,,,,none,0,,,,,TXN ranks #151 under the official 70/30 NLP-finance model. NLP stagnation score is 0.693. Financial feasibility score is 0.510. Final score is 0.638. Market validation data is not currently available.
152,ALLE,Industrials,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Lower priority,Pass,Attractive,0.6381,0.5579,0.825,0.1414,516400000.0,0.027,7.609,0.103,23.58,0,,0.0,0,0,,,,none,0,,,,,ALLE ranks #152 under the official 70/30 NLP-finance model. NLP stagnation score is 0.558. Financial feasibility score is 0.825. Final score is 0.638. Market validation data is not currently available.
153,CPRT,Industrials,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Lower priority,Pass,Attractive,0.6379,0.5685,0.8,1.8371,847574000.0,0.0,72.986,0.314,,0,,0.0,0,0,,,,none,0,,,,,CPRT ranks #153 under the official 70/30 NLP-finance model. NLP stagnation score is 0.568. Financial feasibility score is 0.800. Final score is 0.638. Market validation data is not currently available.
154,GPC,Consumer Discretionary,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Lower priority,Pass,Marginal,0.6379,0.6242,0.67,0.04,922935000.0,2.712,19.78,0.325,0.215,0,,0.0,0,0,,,,none,0,,,,,GPC ranks #154 under the official 70/30 NLP-finance model. NLP stagnation score is 0.624. Financial feasibility score is 0.670. Final score is 0.638. Market validation data is not currently available.
155,NFLX,Communication Services,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Lower priority,Pass,Ideal,0.6372,0.501,0.955,0.2054,6925749000.0,2.835,9.083,0.048,0.334,0,,0.0,0,0,,,,none,0,,,,,NFLX ranks #155 under the official 70/30 NLP-finance model. NLP stagnation score is 0.501. Financial feasibility score is 0.955. Final score is 0.637. Market validation data is not currently available.
156,SYY,Consumer Staples,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Lower priority,Pass,Marginal,0.636,0.6193,0.675,0.0272,2075000000.0,3.382,25.696,0.208,0.161,0,,0.0,0,0,,,,none,0,,,,,SYY ranks #156 under the official 70/30 NLP-finance model. NLP stagnation score is 0.619. Financial feasibility score is 0.675. Final score is 0.636. Market validation data is not currently available.
157,MKC,Consumer Staples,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Lower priority,Fail,Marginal,0.6354,0.597,0.725,0.1461,973400000.0,3.32,4.625,0.227,0.252,0,,0.0,0,0,,,,none,0,,,,,MKC ranks #157 under the official 70/30 NLP-finance model. NLP stagnation score is 0.597. Financial feasibility score is 0.725. Final score is 0.635. Market validation data is not currently available.
158,DRI,Consumer Discretionary,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Lower priority,Fail,Marginal,0.6353,0.5691,0.79,0.0942,987900000.0,0.862,25.301,0.355,0.721,0,,0.0,0,0,,,,none,0,,,,,DRI ranks #158 under the official 70/30 NLP-finance model. NLP stagnation score is 0.569. Financial feasibility score is 0.790. Final score is 0.635. Market validation data is not currently available.
159,EXPE,Consumer Discretionary,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Lower priority,Fail,Marginal,0.6351,0.5944,0.73,0.1436,1844000000.0,3.405,2.943,0.46,0.294,0,,0.0,0,0,,,,none,0,,,,,EXPE ranks #159 under the official 70/30 NLP-finance model. NLP stagnation score is 0.594. Financial feasibility score is 0.730. Final score is 0.635. Market validation data is not currently available.
160,CHD,Consumer Staples,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Lower priority,Pass,Attractive,0.634,0.5457,0.84,0.1375,807100000.0,1.719,9.535,0.174,0.366,0,,0.0,0,0,,,,none,0,,,,,CHD ranks #160 under the official 70/30 NLP-finance model. NLP stagnation score is 0.546. Financial feasibility score is 0.840. Final score is 0.634. Market validation data is not currently available.
161,FTV,Industrials,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Lower priority,Pass,Attractive,0.6318,0.5404,0.845,0.3258,1275000000.0,3.707,4.648,0.079,0.344,0,,0.0,0,0,,,,none,0,,,,,FTV ranks #161 under the official 70/30 NLP-finance model. NLP stagnation score is 0.540. Financial feasibility score is 0.845. Final score is 0.632. Market validation data is not currently available.
162,KMI,Energy,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Lower priority,Fail,Marginal,0.6297,0.5718,0.765,0.3059,4174000000.0,0.308,2.987,0.356,2.078,0,,0.0,0,0,,,,none,0,,,,,KMI ranks #162 under the official 70/30 NLP-finance model. NLP stagnation score is 0.572. Financial feasibility score is 0.765. Final score is 0.630. Market validation data is not currently available.
163,WY,Real Estate,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Lower priority,Pass,Marginal,0.6287,0.626,0.635,0.128,982000000.0,3.011,4.236,0.267,0.193,0,,0.0,0,0,,,,none,0,,,,,WY ranks #163 under the official 70/30 NLP-finance model. NLP stagnation score is 0.626. Financial feasibility score is 0.635. Final score is 0.629. Market validation data is not currently available.
164,ADI,Information Technology,70% NLP stagnation / 30% financial feasibility,Validation signal despite lower model score,Lower priority,Pass,Ideal,0.6281,0.5159,0.89,0.289,3556171000.0,0.124,20.685,0.303,6.883,1,2.0,4.0,1,1,0.6682,-0.322,0.3823,layoffs,2,2024-12-02,Reported major job cuts after a sharp fiscal 2024 revenue decline.,NBC Boston / Boston Business Journal,"Counts as pressure and workforce reduction, not LBO or take-private evidence.",ADI ranks #164 under the official 70/30 NLP-finance model. NLP stagnation score is 0.516. Financial feasibility score is 0.890. Final score is 0.628. Manual event validation records 'layoffs' with event score 2. The company shows 2 market-pressure signal(s). Maximum drawdown was -32.2%. Relative return vs SPY was 66.8%.
165,SLB,Energy,70% NLP stagnation / 30% financial feasibility,Validation signal despite lower model score,Lower priority,Pass,Attractive,0.6272,0.551,0.805,0.1418,4698000000.0,2.214,6.69,0.342,0.374,1,2.0,2.0,1,1,0.2877,-0.2645,0.372,none,0,,,,,SLB ranks #165 under the official 70/30 NLP-finance model. NLP stagnation score is 0.551. Financial feasibility score is 0.805. Final score is 0.627. The company shows 2 market-pressure signal(s). Maximum drawdown was -26.4%. Relative return vs SPY was 28.8%.
166,DVA,Health Care,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Lower priority,Pass,Marginal,0.6267,0.606,0.675,0.1228,1491046000.0,3.598,4.022,0.243,0.177,0,,0.0,0,0,,,,none,0,,,,,DVA ranks #166 under the official 70/30 NLP-finance model. NLP stagnation score is 0.606. Financial feasibility score is 0.675. Final score is 0.627. Market validation data is not currently available.
167,ELV,Health Care,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Lower priority,Pass,Attractive,0.6232,0.571,0.745,0.0395,6765000000.0,3.587,10.65,0.151,0.219,0,,0.0,0,0,,,,none,0,,,,,ELV ranks #167 under the official 70/30 NLP-finance model. NLP stagnation score is 0.571. Financial feasibility score is 0.745. Final score is 0.623. Market validation data is not currently available.
168,META,Communication Services,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Lower priority,Pass,Ideal,0.6216,0.5195,0.86,0.3267,44068000000.0,0.498,1363.463,0.467,1.529,0,,0.0,0,0,,,,none,0,,,,,META ranks #168 under the official 70/30 NLP-finance model. NLP stagnation score is 0.519. Financial feasibility score is 0.860. Final score is 0.622. Market validation data is not currently available.
169,MDLZ,Consumer Staples,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Lower priority,Fail,Marginal,0.6197,0.5981,0.67,0.1,3602000000.0,2.363,3.108,0.166,0.227,0,,0.0,0,0,,,,none,0,,,,,MDLZ ranks #169 under the official 70/30 NLP-finance model. NLP stagnation score is 0.598. Financial feasibility score is 0.670. Final score is 0.620. Market validation data is not currently available.
170,SHW,Materials,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Lower priority,Fail,Marginal,0.6196,0.5424,0.8,0.1142,2633500000.0,2.807,9.213,0.263,0.278,0,,0.0,0,0,,,,none,0,,,,,SHW ranks #170 under the official 70/30 NLP-finance model. NLP stagnation score is 0.542. Financial feasibility score is 0.800. Final score is 0.620. Market validation data is not currently available.
171,SMCI,Information Technology,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Lower priority,Pass,Ideal,0.6194,0.5077,0.88,0.088,626787000.0,0.187,306.295,0.047,4.246,0,,0.0,0,0,,,,none,0,,,,,SMCI ranks #171 under the official 70/30 NLP-finance model. NLP stagnation score is 0.508. Financial feasibility score is 0.880. Final score is 0.619. Market validation data is not currently available.
172,MAS,Industrials,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Lower priority,Pass,Attractive,0.6191,0.5416,0.8,0.1469,1170000000.0,1.969,4.849,0.162,0.397,0,,0.0,0,0,,,,none,0,,,,,MAS ranks #172 under the official 70/30 NLP-finance model. NLP stagnation score is 0.542. Financial feasibility score is 0.800. Final score is 0.619. Market validation data is not currently available.
173,TYL,Information Technology,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Lower priority,Pass,Ideal,0.6184,0.502,0.89,0.1844,359921000.0,1.605,9.249,0.055,0.602,0,,0.0,0,0,,,,none,0,,,,,TYL ranks #173 under the official 70/30 NLP-finance model. NLP stagnation score is 0.502. Financial feasibility score is 0.890. Final score is 0.618. Market validation data is not currently available.
174,ABT,Health Care,70% NLP stagnation / 30% financial feasibility,Validation signal despite lower model score,Lower priority,Pass,Ideal,0.6177,0.5181,0.85,0.1261,5059000000.0,1.821,12.154,0.284,0.358,1,2.0,2.0,1,1,-0.4378,-0.346,0.24,none,0,,,,,ABT ranks #174 under the official 70/30 NLP-finance model. NLP stagnation score is 0.518. Financial feasibility score is 0.850. Final score is 0.618. The company shows 2 market-pressure signal(s). Maximum drawdown was -34.6%. Relative return vs SPY was -43.8%.
175,ROP,Information Technology,70% NLP stagnation / 30% financial feasibility,Validation signal despite lower model score,Lower priority,Fail,Situational,0.6167,0.5082,0.87,0.3234,1997800000.0,3.049,7.461,0.015,0.262,1,2.0,2.0,1,1,-0.5174,-0.4651,0.2428,none,0,,,,,ROP ranks #175 under the official 70/30 NLP-finance model. NLP stagnation score is 0.508. Financial feasibility score is 0.870. Final score is 0.617. The company shows 2 market-pressure signal(s). Maximum drawdown was -46.5%. Relative return vs SPY was -51.7%.
176,CMI,Industrials,70% NLP stagnation / 30% financial feasibility,Validation signal despite lower model score,Lower priority,Pass,Attractive,0.6165,0.5314,0.815,0.0808,2753000000.0,0.008,4.696,0.436,119.696,1,1.0,3.0,1,1,0.6849,-0.3048,0.3355,restructuring,2,2025-02-04,Cummins recorded Accelera reorganization charges and later continued to report Accelera-related charges.,Cummins / Reuters,Counts as restructuring and strategic pressure.,CMI ranks #176 under the official 70/30 NLP-finance model. NLP stagnation score is 0.531. Financial feasibility score is 0.815. Final score is 0.617. Manual event validation records 'restructuring' with event score 2. The company shows 1 market-pressure signal(s). Maximum drawdown was -30.5%. Relative return vs SPY was 68.5%.
177,GEHC,Health Care,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Lower priority,Pass,Marginal,0.6147,0.5846,0.685,0.0877,1714000000.0,3.336,4.493,0.144,0.191,0,,0.0,0,0,,,,none,0,,,,,GEHC ranks #177 under the official 70/30 NLP-finance model. NLP stagnation score is 0.585. Financial feasibility score is 0.685. Final score is 0.615. Market validation data is not currently available.
178,UNP,Industrials,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Lower priority,Fail,Marginal,0.6084,0.5734,0.69,0.1979,4773000000.0,2.791,7.85,0.316,0.15,0,,0.0,0,0,,,,none,0,,,,,UNP ranks #178 under the official 70/30 NLP-finance model. NLP stagnation score is 0.573. Financial feasibility score is 0.690. Final score is 0.608. Market validation data is not currently available.
179,AZO,Consumer Discretionary,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Lower priority,Fail,Marginal,0.6083,0.5218,0.81,0.1228,2144131000.0,1.094,17.17,0.201,0.494,0,,0.0,0,0,,,,none,0,,,,,AZO ranks #179 under the official 70/30 NLP-finance model. NLP stagnation score is 0.522. Financial feasibility score is 0.810. Final score is 0.608. Market validation data is not currently available.
180,LYV,Communication Services,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Lower priority,Fail,Marginal,0.6075,0.5593,0.72,0.0407,924370000.0,1.081,3.098,0.274,0.534,0,,0.0,0,0,,,,none,0,,,,,LYV ranks #180 under the official 70/30 NLP-finance model. NLP stagnation score is 0.559. Financial feasibility score is 0.720. Final score is 0.607. Market validation data is not currently available.
181,BLDR,Industrials,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Lower priority,Pass,Ideal,0.6059,0.4905,0.875,0.1071,1830537000.0,0.129,19.93,0.174,5.171,0,,0.0,0,0,,,,none,0,,,,,BLDR ranks #181 under the official 70/30 NLP-finance model. NLP stagnation score is 0.491. Financial feasibility score is 0.875. Final score is 0.606. Market validation data is not currently available.
182,TGT,Consumer Staples,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Lower priority,Fail,Marginal,0.6054,0.5477,0.74,0.0355,3815000000.0,1.634,13.556,0.565,0.274,0,,0.0,0,0,,,,none,0,,,,,TGT ranks #182 under the official 70/30 NLP-finance model. NLP stagnation score is 0.548. Financial feasibility score is 0.740. Final score is 0.605. Market validation data is not currently available.
183,INCY,Health Care,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Financial caution,Fail,Marginal,0.6053,0.6439,0.515,0.1212,447787000.0,20.988,325.223,0.069,0.023,0,,0.0,0,0,,,,none,0,,,,,INCY ranks #183 under the official 70/30 NLP-finance model. NLP stagnation score is 0.644. Financial feasibility score is 0.515. Final score is 0.605. Market validation data is not currently available.
184,BSX,Health Care,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Lower priority,Pass,Attractive,0.603,0.5014,0.84,0.1258,1792000000.0,0.502,8.842,0.201,1.008,0,,0.0,0,0,,,,none,0,,,,,BSX ranks #184 under the official 70/30 NLP-finance model. NLP stagnation score is 0.501. Financial feasibility score is 0.840. Final score is 0.603. Market validation data is not currently available.
185,WM,Industrials,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Lower priority,Fail,Marginal,0.6028,0.5504,0.725,0.0893,1824000000.0,0.241,7.107,0.513,1.342,0,,0.0,0,0,,,,none,0,,,,,WM ranks #185 under the official 70/30 NLP-finance model. NLP stagnation score is 0.550. Financial feasibility score is 0.725. Final score is 0.603. Market validation data is not currently available.
186,ON,Information Technology,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Lower priority,Pass,Marginal,0.6026,0.6187,0.565,0.0531,438400000.0,1.063,19.469,0.489,0.131,0,,0.0,0,0,,,,none,0,,,,,ON ranks #186 under the official 70/30 NLP-finance model. NLP stagnation score is 0.619. Financial feasibility score is 0.565. Final score is 0.603. Market validation data is not currently available.
187,KHC,Consumer Staples,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Lower priority,Pass,Attractive,0.6024,0.5113,0.815,0.1616,2963000000.0,0.001,5.013,0.183,249.798,0,,0.0,0,0,,,,none,0,,,,,KHC ranks #187 under the official 70/30 NLP-finance model. NLP stagnation score is 0.511. Financial feasibility score is 0.815. Final score is 0.602. Market validation data is not currently available.
188,LII,Industrials,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Lower priority,Pass,Attractive,0.6016,0.5316,0.765,0.0976,486000000.0,0.358,15.309,0.285,1.545,0,,0.0,0,0,,,,none,0,,,,,LII ranks #188 under the official 70/30 NLP-finance model. NLP stagnation score is 0.532. Financial feasibility score is 0.765. Final score is 0.602. Market validation data is not currently available.
189,VTRS,Health Care,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Financial caution,Fail,Marginal,0.6013,0.5075,0.82,0.164,2523000000.0,0.0,1.337,0.108,249.798,0,,0.0,0,0,,,,none,0,,,,,VTRS ranks #189 under the official 70/30 NLP-finance model. NLP stagnation score is 0.508. Financial feasibility score is 0.820. Final score is 0.601. Market validation data is not currently available.
190,CPB,Consumer Staples,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Lower priority,Fail,Marginal,0.6002,0.5274,0.77,0.0826,773000000.0,0.838,6.979,0.218,0.543,0,,0.0,0,0,,,,none,0,,,,,CPB ranks #190 under the official 70/30 NLP-finance model. NLP stagnation score is 0.527. Financial feasibility score is 0.770. Final score is 0.600. Market validation data is not currently available.
